Datum,Type,Aantal
2020-08-20,Ziekenhuisopname,
2020-08-20,Overleden,7.0
2020-08-21,Totaal,519.0
2020-08-21,Ziekenhuisopname,
2020-08-21,Overleden,4.0
2020-08-22,Totaal,499.0
2020-08-22,Ziekenhuisopname,
2020-08-22,Overleden,2.0
2020-08-23,Totaal,529.0
2020-08-23,Ziekenhuisopname,
2020-08-23,Overleden,4.0
2020-08-24,Totaal,438.0
2020-08-24,Ziekenhuisopname,
2020-08-24,Overleden,3.0
2020-08-25,Totaal,530.0
2020-08-25,Ziekenhuisopname,
2020-08-25,Overleden,2.0
2020-08-26,Totaal,468.0
2020-08-26,Ziekenhuisopname,
2020-08-26,Overleden,5.0
2020-08-27,Totaal,531.0
2020-08-27,Ziekenhuisopname,
2020-08-27,Overleden,0.0
2020-08-28,Totaal,556.0
2020-08-28,Ziekenhuisopname,
2020-08-28,Overleden,5.0
2020-08-29,Totaal,524.0
2020-08-29,Ziekenhuisopname,
2020-08-29,Overleden,2.0
2020-08-30,Totaal,547.0
2020-08-30,Ziekenhuisopname,
2020-08-30,Overleden,5.0
2020-08-31,Totaal,566.0
2020-08-31,Ziekenhuisopname,
2020-08-31,Overleden,3.0
2020-09-01,Totaal,620.0
2020-09-01,Ziekenhuisopname,
2020-09-01,Overleden,4.0
2020-09-02,Totaal,626.0
2020-09-02,Ziekenhuisopname,
2020-09-02,Overleden,1.0
2020-09-03,Totaal,720.0
2020-09-03,Ziekenhuisopname,
2020-09-03,Overleden,1.0
2020-09-04,Totaal,785.0
2020-09-04,Ziekenhuisopname,
2020-09-04,Overleden,4.0
2020-09-05,Totaal,811.0
2020-09-05,Ziekenhuisopname,
2020-09-05,Overleden,2.0
2020-09-06,Totaal,849.0
2020-09-06,Ziekenhuisopname,
2020-09-06,Overleden,2.0
2020-09-07,Totaal,1034.0
2020-09-07,Ziekenhuisopname,
2020-09-07,Overleden,1.0
2020-09-08,Totaal,1116.0
2020-09-08,Ziekenhuisopname,
2020-09-08,Overleden,2.0
