Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
180;Staphorst;27;4;17144;157.5;23.3
532;Stede Broec;30;15;21734;138;69
851;Steenbergen;32;9;24501;130.6;36.7
1708;Steenwijkerland;27;10;44139;61.2;22.7
971;Stein;54;35;25000;216;140
1904;Stichtse Vecht;56;25;64928;86.2;38.5
1900;Súdwest-Fryslân;44;14;89987;48.9;15.6
715;Terneuzen;57;17;54438;104.7;31.2
93;Terschelling;1;0;4889;20.5;0
448;Texel;8;3;13573;58.9;22.1
1525;Teylingen;26;11;37426;69.5;29.4
716;Tholen;80;33;25758;310.6;128.1
281;Tiel;50;31;42161;118.6;73.5
855;Tilburg;437;153;219800;198.8;69.6
183;Tubbergen;51;10;21279;239.7;47
1700;Twenterand;26;8;33743;77.1;23.7
1730;Tynaarlo;29;7;33879;85.6;20.7
737;Tytsjerksteradiel;14;4;32046;43.7;12.5
856;Uden;201;86;42122;477.2;204.2
450;Uitgeest;14;3;13649;102.6;22
451;Uithoorn;27;12;29466;91.6;40.7
184;Urk;28;18;21033;133.1;85.6
344;Utrecht;480;143;357694;134.2;40
1581;Utrechtse Heuvelrug;56;19;49601;112.9;38.3
981;Vaals;16;8;10099;158.4;79.2
994;Valkenburg aan de Geul;43;13;16360;262.8;79.5
858;Valkenswaard;80;10;31200;256.4;32.1
47;Veendam;5;1;27387;18.3;3.7
345;Veenendaal;58;24;66491;87.2;36.1
717;Veere;18;4;21885;82.2;18.3
861;Veldhoven;55;18;45458;121;39.6
453;Velsen;140;21;68660;203.9;30.6
983;Venlo;169;105;101797;166;103.1
984;Venray;60;34;43604;137.6;78
1961;Vijfheerenlanden;125;20;56816;220;35.2
622;Vlaardingen;96;26;73445;130.7;35.4
96;Vlieland;0;0;1152;0;0
718;Vlissingen;39;8;44365;87.9;18
986;Voerendaal;22;12;12471;176.4;96.2
626;Voorschoten;22;8;25603;85.9;31.2
285;Voorst;37;9;24546;150.7;36.7
865;Vught;64;33;26554;241;124.3
1949;Waadhoeke;44;6;46079;95.5;13
866;Waalre;20;4;17454;114.6;22.9
867;Waalwijk;82;23;48620;168.7;47.3
627;Waddinxveen;28;11;29293;95.6;37.6
289;Wageningen;20;10;39673;50.4;25.2
629;Wassenaar;22;6;26214;83.9;22.9
852;Waterland;19;11;17422;109.1;63.1
988;Weert;87;52;50107;173.6;103.8
457;Weesp;25;8;19729;126.7;40.5
1960;West Betuwe;89;27;51198;173.8;52.7
668;West Maas en Waal;34;11;19320;176;56.9
1969;Westerkwartier;39;12;63375;61.5;18.9
1701;Westerveld;17;5;19460;87.4;25.7
293;Westervoort;13;8;14973;86.8;53.4
1950;Westerwolde;5;5;25796;19.4;19.4
1783;Westland;113;39;110357;102.4;35.3
98;Weststellingwerf;8;2;25916;30.9;7.7
614;Westvoorne;20;6;14728;135.8;40.7
189;Wierden;21;4;24440;85.9;16.4
296;Wijchen;69;35;41124;167.8;85.1
1696;Wijdemeren;14;7;24360;57.5;28.7
352;Wijk bij Duurstede;16;8;23910;66.9;33.5
294;Winterswijk;10;2;28865;34.6;6.9
873;Woensdrecht;13;4;21883;59.4;18.3
632;Woerden;82;35;52294;156.8;66.9
880;Wormerland;28;15;16299;171.8;92
351;Woudenberg;18;7;13362;134.7;52.4
479;Zaanstad;183;86;156711;116.8;54.9
297;Zaltbommel;30;15;28901;103.8;51.9
473;Zandvoort;26;8;17116;151.9;46.7
50;Zeewolde;16;6;22656;70.6;26.5
355;Zeist;78;26;64932;120.1;40
299;Zevenaar;42;28;43740;96;64
637;Zoetermeer;68;31;125283;54.3;24.7
638;Zoeterwoude;7;2;8611;81.3;23.2
1892;Zuidplas;47;16;43894;107.1;36.5
879;Zundert;40;15;21821;183.3;68.7
301;Zutphen;34;12;47942;70.9;25
1896;Zwartewaterland;80;29;22690;352.6;127.8
642;Zwijndrecht;43;12;44741;96.1;26.8
193;Zwolle;180;42;128831;139.7;32.6
