Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
797;Heusden;44699;10-06-2020;23-06-2020;3;6,7;0;0;0;0
534;Hillegom;22208;10-06-2020;23-06-2020;0;0;0;0;0;0
798;Hilvarenbeek;15514;10-06-2020;23-06-2020;2;12,9;0;0;0;0
402;Hilversum;90883;10-06-2020;23-06-2020;4;4,4;0;0;0;0
1963;Hoeksche Waard;87461;10-06-2020;23-06-2020;2;2,3;0;0;0;0
1735;Hof van Twente;35013;10-06-2020;23-06-2020;0;0;0;0;0;0
1911;Hollands Kroon;48434;10-06-2020;23-06-2020;0;0;0;0;0;0
118;Hoogeveen;55697;10-06-2020;23-06-2020;0;0;0;0;0;0
405;Hoorn;73232;10-06-2020;23-06-2020;4;5,5;0;0;0;0
1507;Horst aan de Maas;42433;10-06-2020;23-06-2020;11;25,9;0;0;0;0
321;Houten;50146;10-06-2020;23-06-2020;2;4;0;0;0;0
406;Huizen;41273;10-06-2020;23-06-2020;10;24,2;1;2,4;0;0
677;Hulst;27556;10-06-2020;23-06-2020;0;0;0;0;0;0
353;IJsselstein;34110;10-06-2020;23-06-2020;1;2,9;0;0;0;0
1884;Kaag en Braassem;27300;10-06-2020;23-06-2020;1;3,7;0;0;0;0
166;Kampen;54340;10-06-2020;23-06-2020;1;1,8;0;0;0;0
678;Kapelle;12691;10-06-2020;23-06-2020;0;0;0;0;0;0
537;Katwijk;65754;10-06-2020;23-06-2020;38;57,8;1;1,5;0;0
928;Kerkrade;45744;10-06-2020;23-06-2020;3;6,6;0;0;0;0
1598;Koggenland;22752;10-06-2020;23-06-2020;0;0;0;0;0;0
542;Krimpen aan den IJssel;29533;10-06-2020;23-06-2020;2;6,8;0;0;0;0
1931;Krimpenerwaard;56319;10-06-2020;23-06-2020;8;14,2;0;0;3;5,3
1659;Laarbeek;22530;10-06-2020;23-06-2020;2;8,9;0;0;0;0
1685;Landerd;15730;10-06-2020;23-06-2020;2;12,7;0;0;0;0
882;Landgraaf;37457;10-06-2020;23-06-2020;1;2,7;0;0;0;0
415;Landsmeer;11492;10-06-2020;23-06-2020;0;0;0;0;0;0
416;Langedijk;28157;10-06-2020;23-06-2020;0;0;0;0;0;0
1621;Lansingerland;62396;10-06-2020;23-06-2020;4;6,4;0;0;1;1,6
417;Laren;11274;10-06-2020;23-06-2020;0;0;0;0;0;0
80;Leeuwarden;124058;10-06-2020;23-06-2020;6;4,8;0;0;0;0
546;Leiden;125174;10-06-2020;23-06-2020;12;9,6;0;0;0;0
547;Leiderdorp;27059;10-06-2020;23-06-2020;1;3,7;0;0;0;0
1916;Leidschendam-Voorburg;76553;10-06-2020;23-06-2020;17;22,2;0;0;0;0
995;Lelystad;78619;10-06-2020;23-06-2020;9;11,4;0;0;0;0
1640;Leudal;35896;10-06-2020;23-06-2020;0;0;0;0;0;0
327;Leusden;30399;10-06-2020;23-06-2020;1;3,3;0;0;0;0
1705;Lingewaard;46606;10-06-2020;23-06-2020;4;8,6;0;0;0;0
553;Lisse;22957;10-06-2020;23-06-2020;1;4,4;0;0;0;0
262;Lochem;33730;10-06-2020;23-06-2020;1;3;0;0;1;3
809;Loon op Zand;23407;10-06-2020;23-06-2020;1;4,3;0;0;0;0
331;Lopik;14471;10-06-2020;23-06-2020;1;6,9;0;0;0;0
24;Loppersum;9533;10-06-2020;23-06-2020;0;0;0;0;0;0
168;Losser;22685;10-06-2020;23-06-2020;0;0;0;0;0;0
263;Maasdriel;25034;10-06-2020;23-06-2020;0;0;0;0;0;0
1641;Maasgouw;23960;10-06-2020;23-06-2020;0;0;0;0;0;0
