report_date,date,province,value
2020-03-31,2020-03-28,Zuid-Holland,156
2020-03-31,2020-03-29,Zuid-Holland,114
2020-03-31,2020-03-30,Zuid-Holland,135
2020-03-31,2020-03-31,Zuid-Holland,14
2020-04-01,2020-02-27,Drenthe,0
2020-04-01,2020-02-28,Drenthe,0
2020-04-01,2020-02-29,Drenthe,2
2020-04-01,2020-03-01,Drenthe,0
2020-04-01,2020-03-02,Drenthe,1
2020-04-01,2020-03-03,Drenthe,0
2020-04-01,2020-03-04,Drenthe,2
2020-04-01,2020-03-05,Drenthe,1
2020-04-01,2020-03-06,Drenthe,2
2020-04-01,2020-03-07,Drenthe,0
2020-04-01,2020-03-08,Drenthe,2
2020-04-01,2020-03-09,Drenthe,2
2020-04-01,2020-03-10,Drenthe,0
2020-04-01,2020-03-11,Drenthe,2
2020-04-01,2020-03-12,Drenthe,0
2020-04-01,2020-03-13,Drenthe,2
2020-04-01,2020-03-14,Drenthe,0
2020-04-01,2020-03-15,Drenthe,2
2020-04-01,2020-03-16,Drenthe,1
2020-04-01,2020-03-17,Drenthe,5
2020-04-01,2020-03-18,Drenthe,4
2020-04-01,2020-03-19,Drenthe,6
2020-04-01,2020-03-20,Drenthe,8
2020-04-01,2020-03-21,Drenthe,4
2020-04-01,2020-03-22,Drenthe,5
2020-04-01,2020-03-23,Drenthe,5
2020-04-01,2020-03-24,Drenthe,4
2020-04-01,2020-03-25,Drenthe,12
2020-04-01,2020-03-26,Drenthe,10
2020-04-01,2020-03-27,Drenthe,13
2020-04-01,2020-03-28,Drenthe,17
2020-04-01,2020-03-29,Drenthe,6
2020-04-01,2020-03-30,Drenthe,5
2020-04-01,2020-03-31,Drenthe,18
2020-04-01,2020-04-01,Drenthe,0
2020-04-01,2020-02-27,Groningen,0
2020-04-01,2020-02-28,Groningen,0
2020-04-01,2020-02-29,Groningen,0
2020-04-01,2020-03-01,Groningen,0
2020-04-01,2020-03-02,Groningen,0
2020-04-01,2020-03-03,Groningen,0
2020-04-01,2020-03-04,Groningen,0
2020-04-01,2020-03-05,Groningen,0
2020-04-01,2020-03-06,Groningen,0
2020-04-01,2020-03-07,Groningen,0
2020-04-01,2020-03-08,Groningen,0
2020-04-01,2020-03-09,Groningen,0
2020-04-01,2020-03-10,Groningen,0
2020-04-01,2020-03-11,Groningen,3
2020-04-01,2020-03-12,Groningen,1
2020-04-01,2020-03-13,Groningen,1
2020-04-01,2020-03-14,Groningen,6
2020-04-01,2020-03-15,Groningen,1
2020-04-01,2020-03-16,Groningen,0
2020-04-01,2020-03-17,Groningen,4
2020-04-01,2020-03-18,Groningen,12
2020-04-01,2020-03-19,Groningen,7
2020-04-01,2020-03-20,Groningen,18
2020-04-01,2020-03-21,Groningen,13
2020-04-01,2020-03-22,Groningen,5
2020-04-01,2020-03-23,Groningen,3
2020-04-01,2020-03-24,Groningen,25
2020-04-01,2020-03-25,Groningen,15
2020-04-01,2020-03-26,Groningen,12
2020-04-01,2020-03-27,Groningen,12
2020-04-01,2020-03-28,Groningen,8
2020-04-01,2020-03-29,Groningen,5
2020-04-01,2020-03-30,Groningen,9
2020-04-01,2020-03-31,Groningen,8
2020-04-01,2020-04-01,Groningen,0
2020-04-01,2020-02-27,Overijssel,0
2020-04-01,2020-02-28,Overijssel,0
2020-04-01,2020-02-29,Overijssel,0
2020-04-01,2020-03-01,Overijssel,0
2020-04-01,2020-03-02,Overijssel,0
2020-04-01,2020-03-03,Overijssel,1
2020-04-01,2020-03-04,Overijssel,2
2020-04-01,2020-03-05,Overijssel,2
2020-04-01,2020-03-06,Overijssel,4
2020-04-01,2020-03-07,Overijssel,0
2020-04-01,2020-03-08,Overijssel,1
2020-04-01,2020-03-09,Overijssel,3
2020-04-01,2020-03-10,Overijssel,2
2020-04-01,2020-03-11,Overijssel,2
2020-04-01,2020-03-12,Overijssel,6
2020-04-01,2020-03-13,Overijssel,5
2020-04-01,2020-03-14,Overijssel,7
2020-04-01,2020-03-15,Overijssel,9
2020-04-01,2020-03-16,Overijssel,11
2020-04-01,2020-03-17,Overijssel,18
2020-04-01,2020-03-18,Overijssel,27
2020-04-01,2020-03-19,Overijssel,36
2020-04-01,2020-03-20,Overijssel,38
2020-04-01,2020-03-21,Overijssel,28
2020-04-01,2020-03-22,Overijssel,32
2020-04-01,2020-03-23,Overijssel,31
2020-04-01,2020-03-24,Overijssel,55
2020-04-01,2020-03-25,Overijssel,71
2020-04-01,2020-03-26,Overijssel,74
2020-04-01,2020-03-27,Overijssel,60
2020-04-01,2020-03-28,Overijssel,86
2020-04-01,2020-03-29,Overijssel,33
2020-04-01,2020-03-30,Overijssel,40
2020-04-01,2020-03-31,Overijssel,66
2020-04-01,2020-04-01,Overijssel,9
2020-04-01,2020-02-27,Utrecht,0
2020-04-01,2020-02-28,Utrecht,0
2020-04-01,2020-02-29,Utrecht,5
2020-04-01,2020-03-01,Utrecht,3
2020-04-01,2020-03-02,Utrecht,17
2020-04-01,2020-03-03,Utrecht,6
2020-04-01,2020-03-04,Utrecht,8
2020-04-01,2020-03-05,Utrecht,10
2020-04-01,2020-03-06,Utrecht,3
2020-04-01,2020-03-07,Utrecht,4
2020-04-01,2020-03-08,Utrecht,1
2020-04-01,2020-03-09,Utrecht,8
2020-04-01,2020-03-10,Utrecht,12
2020-04-01,2020-03-11,Utrecht,11
2020-04-01,2020-03-12,Utrecht,6
2020-04-01,2020-03-13,Utrecht,29
2020-04-01,2020-03-14,Utrecht,21
2020-04-01,2020-03-15,Utrecht,19
2020-04-01,2020-03-16,Utrecht,20
2020-04-01,2020-03-17,Utrecht,29
2020-04-01,2020-03-18,Utrecht,21
2020-04-01,2020-03-19,Utrecht,34
2020-04-01,2020-03-20,Utrecht,56
2020-04-01,2020-03-21,Utrecht,53
2020-04-01,2020-03-22,Utrecht,64
2020-04-01,2020-03-23,Utrecht,51
2020-04-01,2020-03-24,Utrecht,80
2020-04-01,2020-03-25,Utrecht,88
2020-04-01,2020-03-26,Utrecht,83
2020-04-01,2020-03-27,Utrecht,95
2020-04-01,2020-03-28,Utrecht,63
2020-04-01,2020-03-29,Utrecht,55
2020-04-01,2020-03-30,Utrecht,59
2020-04-01,2020-03-31,Utrecht,63
2020-04-01,2020-04-01,Utrecht,2
2020-04-01,2020-02-27,Flevoland,0
2020-04-01,2020-02-28,Flevoland,0
2020-04-01,2020-02-29,Flevoland,0
2020-04-01,2020-03-01,Flevoland,0
2020-04-01,2020-03-02,Flevoland,1
2020-04-01,2020-03-03,Flevoland,1
2020-04-01,2020-03-04,Flevoland,0
2020-04-01,2020-03-05,Flevoland,0
2020-04-01,2020-03-06,Flevoland,0
2020-04-01,2020-03-07,Flevoland,0
2020-04-01,2020-03-08,Flevoland,0
2020-04-01,2020-03-09,Flevoland,0
2020-04-01,2020-03-10,Flevoland,1
2020-04-01,2020-03-11,Flevoland,1
2020-04-01,2020-03-12,Flevoland,4
2020-04-01,2020-03-13,Flevoland,5
2020-04-01,2020-03-14,Flevoland,4
2020-04-01,2020-03-15,Flevoland,2
2020-04-01,2020-03-16,Flevoland,3
2020-04-01,2020-03-17,Flevoland,6
2020-04-01,2020-03-18,Flevoland,7
2020-04-01,2020-03-19,Flevoland,3
2020-04-01,2020-03-20,Flevoland,12
2020-04-01,2020-03-21,Flevoland,10
2020-04-01,2020-03-22,Flevoland,8
2020-04-01,2020-03-23,Flevoland,1
2020-04-01,2020-03-24,Flevoland,13
2020-04-01,2020-03-25,Flevoland,10
2020-04-01,2020-03-26,Flevoland,12
2020-04-01,2020-03-27,Flevoland,12
2020-04-01,2020-03-28,Flevoland,15
2020-04-01,2020-03-29,Flevoland,10
2020-04-01,2020-03-30,Flevoland,13
2020-04-01,2020-03-31,Flevoland,27
2020-04-01,2020-04-01,Flevoland,1
2020-04-01,2020-02-27,Limburg,0
2020-04-01,2020-02-28,Limburg,0
2020-04-01,2020-02-29,Limburg,0
2020-04-01,2020-03-01,Limburg,0
2020-04-01,2020-03-02,Limburg,1
2020-04-01,2020-03-03,Limburg,4
2020-04-01,2020-03-04,Limburg,4
2020-04-01,2020-03-05,Limburg,1
2020-04-01,2020-03-06,Limburg,2
2020-04-01,2020-03-07,Limburg,5
2020-04-01,2020-03-08,Limburg,6
2020-04-01,2020-03-09,Limburg,9
2020-04-01,2020-03-10,Limburg,20
2020-04-01,2020-03-11,Limburg,22
2020-04-01,2020-03-12,Limburg,20
2020-04-01,2020-03-13,Limburg,30
2020-04-01,2020-03-14,Limburg,32
2020-04-01,2020-03-15,Limburg,13
2020-04-01,2020-03-16,Limburg,56
2020-04-01,2020-03-17,Limburg,43
2020-04-01,2020-03-18,Limburg,51
2020-04-01,2020-03-19,Limburg,66
2020-04-01,2020-03-20,Limburg,91
2020-04-01,2020-03-21,Limburg,61
2020-04-01,2020-03-22,Limburg,70
2020-04-01,2020-03-23,Limburg,56
2020-04-01,2020-03-24,Limburg,123
2020-04-01,2020-03-25,Limburg,80
2020-04-01,2020-03-26,Limburg,108
2020-04-01,2020-03-27,Limburg,137
2020-04-01,2020-03-28,Limburg,81
2020-04-01,2020-03-29,Limburg,114
2020-04-01,2020-03-30,Limburg,74
2020-04-01,2020-03-31,Limburg,95
2020-04-01,2020-04-01,Limburg,1
2020-04-01,2020-02-27,Noord-Brabant,1
2020-04-01,2020-02-28,Noord-Brabant,3
2020-04-01,2020-02-29,Noord-Brabant,5
2020-04-01,2020-03-01,Noord-Brabant,6
2020-04-01,2020-03-02,Noord-Brabant,13
2020-04-01,2020-03-03,Noord-Brabant,13
2020-04-01,2020-03-04,Noord-Brabant,15
2020-04-01,2020-03-05,Noord-Brabant,13
2020-04-01,2020-03-06,Noord-Brabant,15
2020-04-01,2020-03-07,Noord-Brabant,13
