Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-06-08,45-49,Man,4,9
2020-06-08,50-54,Man,9,27
2020-06-08,55-59,Man,21,75
2020-06-08,60-64,Man,28,111
2020-06-08,65-69,Man,46,216
2020-06-08,70-74,Man,79,379
2020-06-08,75-79,Man,121,654
2020-06-08,80-84,Man,174,734
2020-06-08,85-89,Man,175,704
2020-06-08,90-94,Man,92,318
2020-06-08,95+,Man,21,75
2020-06-21,0-4,Vrouw,0,0
2020-06-21,5-9,Vrouw,0,0
2020-06-21,10-14,Vrouw,0,0
2020-06-21,15-19,Vrouw,0,0
2020-06-21,20-24,Vrouw,0,0
2020-06-21,25-29,Vrouw,0,0
2020-06-21,30-34,Vrouw,0,1
2020-06-21,35-39,Vrouw,0,2
2020-06-21,40-44,Vrouw,0,0
2020-06-21,45-49,Vrouw,0,14
2020-06-21,50-54,Vrouw,0,20
2020-06-21,55-59,Vrouw,0,24
2020-06-21,60-64,Vrouw,1,52
2020-06-21,65-69,Vrouw,1,114
2020-06-21,70-74,Vrouw,1,243
2020-06-21,75-79,Vrouw,7,345
2020-06-21,80-84,Vrouw,8,524
2020-06-21,85-89,Vrouw,9,664
2020-06-21,90-94,Vrouw,10,507
2020-06-21,95+,Vrouw,6,230
2020-06-21,0-4,Man,0,0
2020-06-21,5-9,Man,0,0
2020-06-21,10-14,Man,0,0
2020-06-21,15-19,Man,0,1
2020-06-21,20-24,Man,0,0
2020-06-21,25-29,Man,0,3
2020-06-21,30-34,Man,0,3
2020-06-21,35-39,Man,0,5
2020-06-21,40-44,Man,1,6
2020-06-21,45-49,Man,0,9
2020-06-21,50-54,Man,0,27
2020-06-21,55-59,Man,0,75
2020-06-21,60-64,Man,1,112
2020-06-21,65-69,Man,4,220
2020-06-21,70-74,Man,5,384
2020-06-21,75-79,Man,4,658
2020-06-21,80-84,Man,6,740
2020-06-21,85-89,Man,7,711
2020-06-21,90-94,Man,3,321
2020-06-21,95+,Man,0,75
2020-06-09,0-4,Vrouw,0,0
2020-06-09,5-9,Vrouw,0,0
2020-06-09,10-14,Vrouw,0,0
2020-06-09,15-19,Vrouw,0,0
2020-06-09,20-24,Vrouw,0,0
2020-06-09,25-29,Vrouw,0,0
2020-06-09,30-34,Vrouw,0,1
2020-06-09,35-39,Vrouw,0,2
2020-06-09,40-44,Vrouw,0,0
2020-06-09,45-49,Vrouw,0,14
2020-06-09,50-54,Vrouw,0,20
2020-06-09,55-59,Vrouw,0,24
2020-06-09,60-64,Vrouw,-1,51
2020-06-09,65-69,Vrouw,0,114
2020-06-09,70-74,Vrouw,0,243
2020-06-09,75-79,Vrouw,-6,339
2020-06-09,80-84,Vrouw,-6,518
2020-06-09,85-89,Vrouw,-6,658
2020-06-09,90-94,Vrouw,-8,499
2020-06-09,95+,Vrouw,-5,225
2020-06-09,0-4,Man,0,0
2020-06-09,5-9,Man,0,0
2020-06-09,10-14,Man,0,0
2020-06-09,15-19,Man,0,1
2020-06-09,20-24,Man,0,0
2020-06-09,25-29,Man,0,3
2020-06-09,30-34,Man,0,3
2020-06-09,35-39,Man,0,5
2020-06-09,40-44,Man,-1,5
2020-06-09,45-49,Man,0,9
2020-06-09,50-54,Man,0,27
2020-06-09,55-59,Man,0,75
2020-06-09,60-64,Man,-1,111
2020-06-09,65-69,Man,-3,217
2020-06-09,70-74,Man,-5,379
2020-06-09,75-79,Man,-3,655
2020-06-09,80-84,Man,-6,734
2020-06-09,85-89,Man,-5,706
2020-06-09,90-94,Man,-3,318
2020-06-09,95+,Man,0,75
2020-04-24,0-4,Vrouw,0,0
2020-04-24,5-9,Vrouw,0,0
2020-04-24,10-14,Vrouw,0,0
2020-04-24,15-19,Vrouw,0,0
2020-04-24,20-24,Vrouw,0,0
2020-04-24,25-29,Vrouw,0,0
2020-04-24,30-34,Vrouw,0,1
2020-04-24,35-39,Vrouw,-1,1
2020-04-24,40-44,Vrouw,0,0
2020-04-24,45-49,Vrouw,-4,10
2020-04-24,50-54,Vrouw,-6,14
2020-04-24,55-59,Vrouw,-6,18
2020-04-24,60-64,Vrouw,-13,38
2020-04-24,65-69,Vrouw,-30,84
2020-04-24,70-74,Vrouw,-67,176
2020-04-24,75-79,Vrouw,-88,251
2020-04-24,80-84,Vrouw,-150,368
2020-04-24,85-89,Vrouw,-242,416
2020-04-24,90-94,Vrouw,-194,305
2020-04-24,95+,Vrouw,-101,124
2020-04-24,0-4,Man,0,0
2020-04-24,5-9,Man,0,0
2020-04-24,10-14,Man,0,0
2020-04-24,15-19,Man,0,1
2020-04-24,20-24,Man,0,0
2020-04-24,25-29,Man,0,3
2020-04-24,30-34,Man,-1,2
2020-04-24,35-39,Man,-1,4
2020-04-24,40-44,Man,-1,4
2020-04-24,45-49,Man,-4,5
2020-04-24,50-54,Man,-9,18
2020-04-24,55-59,Man,-23,52
2020-04-24,60-64,Man,-29,82
2020-04-24,65-69,Man,-51,166
2020-04-24,70-74,Man,-83,296
2020-04-24,75-79,Man,-138,517
2020-04-24,80-84,Man,-190,544
2020-04-24,85-89,Man,-191,515
2020-04-24,90-94,Man,-99,219
2020-04-24,95+,Man,-21,54
2020-04-30,0-4,Vrouw,0,0
2020-04-30,5-9,Vrouw,0,0
2020-04-30,10-14,Vrouw,0,0
2020-04-30,15-19,Vrouw,0,0
2020-04-30,20-24,Vrouw,0,0
2020-04-30,25-29,Vrouw,0,0
2020-04-30,30-34,Vrouw,0,1
2020-04-30,35-39,Vrouw,0,1
2020-04-30,40-44,Vrouw,0,0
2020-04-30,45-49,Vrouw,1,11
2020-04-30,50-54,Vrouw,3,17
2020-04-30,55-59,Vrouw,3,21
2020-04-30,60-64,Vrouw,5,43
2020-04-30,65-69,Vrouw,9,93
2020-04-30,70-74,Vrouw,26,202
2020-04-30,75-79,Vrouw,31,282
2020-04-30,80-84,Vrouw,46,414
2020-04-30,85-89,Vrouw,60,476
2020-04-30,90-94,Vrouw,45,350
2020-04-30,95+,Vrouw,36,160
2020-04-30,0-4,Man,0,0
2020-04-30,5-9,Man,0,0
2020-04-30,10-14,Man,0,0
2020-04-30,15-19,Man,0,1
2020-04-30,20-24,Man,0,0
2020-04-30,25-29,Man,0,3
2020-04-30,30-34,Man,0,2
2020-04-30,35-39,Man,1,5
2020-04-30,40-44,Man,1,5
2020-04-30,45-49,Man,0,5
2020-04-30,50-54,Man,1,19
2020-04-30,55-59,Man,7,59
2020-04-30,60-64,Man,7,89
2020-04-30,65-69,Man,15,181
2020-04-30,70-74,Man,18,314
2020-04-30,75-79,Man,43,560
2020-04-30,80-84,Man,63,607
2020-04-30,85-89,Man,55,570
2020-04-30,90-94,Man,26,245
2020-04-30,95+,Man,4,58
2020-04-18,0-4,Vrouw,0,0
2020-04-18,5-9,Vrouw,0,0
2020-04-18,10-14,Vrouw,0,0
2020-04-18,15-19,Vrouw,0,0
2020-04-18,20-24,Vrouw,0,0
2020-04-18,25-29,Vrouw,0,0
2020-04-18,30-34,Vrouw,0,1
2020-04-18,35-39,Vrouw,0,1
2020-04-18,40-44,Vrouw,0,0
2020-04-18,45-49,Vrouw,-5,6
2020-04-18,50-54,Vrouw,-5,12
2020-04-18,55-59,Vrouw,-6,15
2020-04-18,60-64,Vrouw,-9,34
2020-04-18,65-69,Vrouw,-22,71
2020-04-18,70-74,Vrouw,-55,147
2020-04-18,75-79,Vrouw,-72,210
2020-04-18,80-84,Vrouw,-100,314
2020-04-18,85-89,Vrouw,-154,322
2020-04-18,90-94,Vrouw,-108,242
2020-04-18,95+,Vrouw,-61,99
2020-04-18,0-4,Man,0,0
2020-04-18,5-9,Man,0,0
2020-04-18,10-14,Man,0,0
2020-04-18,15-19,Man,0,1
2020-04-18,20-24,Man,0,0
2020-04-18,25-29,Man,0,3
2020-04-18,30-34,Man,-1,1
2020-04-18,35-39,Man,-2,3
2020-04-18,40-44,Man,-1,4
2020-04-18,45-49,Man,-2,3
2020-04-18,50-54,Man,-1,18
2020-04-18,55-59,Man,-21,38
2020-04-18,60-64,Man,-19,70
2020-04-18,65-69,Man,-31,150
2020-04-18,70-74,Man,-66,248
2020-04-18,75-79,Man,-103,457
2020-04-18,80-84,Man,-125,482
2020-04-18,85-89,Man,-124,446
2020-04-18,90-94,Man,-82,163
2020-04-18,95+,Man,-19,39
2020-04-26,0-4,Vrouw,0,0
2020-04-26,5-9,Vrouw,0,0
2020-04-26,10-14,Vrouw,0,0
2020-04-26,15-19,Vrouw,0,0
2020-04-26,20-24,Vrouw,0,0
2020-04-26,25-29,Vrouw,0,0
2020-04-26,30-34,Vrouw,0,1
2020-04-26,35-39,Vrouw,0,1
2020-04-26,40-44,Vrouw,0,0
2020-04-26,45-49,Vrouw,4,10
2020-04-26,50-54,Vrouw,2,14
2020-04-26,55-59,Vrouw,4,19
2020-04-26,60-64,Vrouw,4,38
2020-04-26,65-69,Vrouw,18,89
2020-04-26,70-74,Vrouw,35,182
2020-04-26,75-79,Vrouw,53,263
2020-04-26,80-84,Vrouw,70,384
2020-04-26,85-89,Vrouw,114,436
2020-04-26,90-94,Vrouw,83,325
2020-04-26,95+,Vrouw,39,138
2020-04-26,0-4,Man,0,0
