Datum,Type,Aantal,AantalCumulatief
2020-08-17,Overleden besmette bewoners,4,2931
2020-08-18,Positief geteste bewoners,8,8682
2020-08-18,Overleden besmette bewoners,2,2933
2020-08-19,Positief geteste bewoners,13,8695
2020-08-19,Overleden besmette bewoners,1,2934
2020-08-20,Positief geteste bewoners,7,8702
2020-08-20,Overleden besmette bewoners,3,2937
2020-08-21,Positief geteste bewoners,2,8704
2020-08-21,Overleden besmette bewoners,3,2940
2020-08-22,Positief geteste bewoners,6,8710
2020-08-22,Overleden besmette bewoners,0,2940
2020-08-23,Positief geteste bewoners,7,8717
2020-08-23,Overleden besmette bewoners,4,2944
2020-08-24,Positief geteste bewoners,8,8725
2020-08-24,Overleden besmette bewoners,3,2947
2020-08-25,Positief geteste bewoners,8,8733
2020-08-25,Overleden besmette bewoners,1,2948
2020-08-26,Positief geteste bewoners,6,8739
2020-08-26,Overleden besmette bewoners,2,2950
2020-08-27,Positief geteste bewoners,10,8749
2020-08-27,Overleden besmette bewoners,0,2950
2020-08-28,Positief geteste bewoners,8,8757
2020-08-28,Overleden besmette bewoners,4,2954
2020-08-29,Positief geteste bewoners,2,8759
2020-08-29,Overleden besmette bewoners,2,2956
2020-08-30,Positief geteste bewoners,6,8765
2020-08-30,Overleden besmette bewoners,2,2958
2020-08-31,Positief geteste bewoners,11,8776
2020-08-31,Overleden besmette bewoners,1,2959
2020-09-01,Positief geteste bewoners,1,8777
2020-09-01,Overleden besmette bewoners,2,2961
2020-09-02,Positief geteste bewoners,11,8788
2020-09-02,Overleden besmette bewoners,0,2961
2020-09-03,Positief geteste bewoners,22,8810
2020-09-03,Overleden besmette bewoners,1,2962
2020-09-04,Positief geteste bewoners,15,8825
2020-09-04,Overleden besmette bewoners,2,2964
2020-09-05,Positief geteste bewoners,23,8848
2020-09-05,Overleden besmette bewoners,2,2966
2020-09-06,Positief geteste bewoners,11,8859
2020-09-06,Overleden besmette bewoners,2,2968
2020-09-07,Positief geteste bewoners,15,8874
2020-09-07,Overleden besmette bewoners,0,2968
2020-09-08,Positief geteste bewoners,18,8892
2020-09-08,Overleden besmette bewoners,1,2969
2020-09-09,Positief geteste bewoners,17,8909
2020-09-09,Overleden besmette bewoners,2,2971
2020-09-10,Positief geteste bewoners,23,8932
2020-09-10,Overleden besmette bewoners,2,2973
2020-09-11,Positief geteste bewoners,34,8966
2020-09-11,Overleden besmette bewoners,4,2977
2020-09-12,Positief geteste bewoners,4,8970
2020-09-12,Overleden besmette bewoners,4,2981
2020-09-13,Positief geteste bewoners,20,8990
2020-09-13,Overleden besmette bewoners,2,2983
2020-09-14,Positief geteste bewoners,26,9016
2020-09-14,Overleden besmette bewoners,0,2983
2020-09-15,Positief geteste bewoners,55,9071
2020-09-15,Overleden besmette bewoners,0,2983
2020-09-16,Positief geteste bewoners,43,9114
2020-09-16,Overleden besmette bewoners,2,2985
2020-09-17,Positief geteste bewoners,47,9161
2020-09-17,Overleden besmette bewoners,5,2990
2020-09-18,Positief geteste bewoners,43,9204
2020-09-18,Overleden besmette bewoners,5,2995
2020-09-19,Positief geteste bewoners,25,9229
2020-09-19,Overleden besmette bewoners,3,2998
2020-09-20,Positief geteste bewoners,35,9264
2020-09-20,Overleden besmette bewoners,2,3000
2020-09-21,Positief geteste bewoners,17,9281
2020-09-21,Overleden besmette bewoners,6,3006
2020-09-22,Positief geteste bewoners,48,9329
2020-09-22,Overleden besmette bewoners,11,3017
2020-09-23,Positief geteste bewoners,44,9373
2020-09-23,Overleden besmette bewoners,3,3020
2020-09-24,Positief geteste bewoners,43,9416
2020-09-24,Overleden besmette bewoners,11,3031
2020-09-25,Positief geteste bewoners,42,9458
2020-09-25,Overleden besmette bewoners,8,3039
2020-09-26,Positief geteste bewoners,39,9497
2020-09-26,Overleden besmette bewoners,3,3042
2020-09-27,Positief geteste bewoners,39,9536
2020-09-27,Overleden besmette bewoners,5,3047
2020-09-28,Positief geteste bewoners,38,9574
2020-09-28,Overleden besmette bewoners,3,3050
2020-09-29,Positief geteste bewoners,25,9599
2020-09-29,Overleden besmette bewoners,2,3052
2020-09-30,Positief geteste bewoners,41,9640
2020-09-30,Overleden besmette bewoners,6,3058
2020-10-01,Positief geteste bewoners,32,9672
2020-10-01,Overleden besmette bewoners,1,3059
