Datum,Type,Waarde
2020-09-05,Geschat aantal besmettelijke mensen,183.2
2020-09-06,Minimum,156.4
2020-09-06,Maximum,240.4
2020-09-06,Geschat aantal besmettelijke mensen,200.1
2020-09-07,Minimum,170.0
2020-09-07,Maximum,263.1
2020-09-07,Geschat aantal besmettelijke mensen,218.0
2020-09-08,Minimum,184.8
2020-09-08,Maximum,288.2
2020-09-08,Geschat aantal besmettelijke mensen,238.8
2020-09-09,Minimum,202.6
2020-09-09,Maximum,316.6
2020-09-09,Geschat aantal besmettelijke mensen,262.1
2020-09-10,Minimum,219.9
2020-09-10,Maximum,347.0
2020-09-10,Geschat aantal besmettelijke mensen,286.1
2020-09-11,Minimum,237.6
2020-09-11,Maximum,380.0
2020-09-11,Geschat aantal besmettelijke mensen,311.4
2020-09-12,Minimum,265.1
2020-09-12,Maximum,415.6
2020-09-12,Geschat aantal besmettelijke mensen,341.7
2020-09-13,Minimum,287.1
2020-09-13,Maximum,446.8
2020-09-13,Geschat aantal besmettelijke mensen,367.4
2020-09-14,Minimum,307.9
2020-09-14,Maximum,479.3
2020-09-14,Geschat aantal besmettelijke mensen,395.4
2020-09-15,Minimum,329.1
2020-09-15,Maximum,513.6
2020-09-15,Geschat aantal besmettelijke mensen,425.4
2020-09-16,Minimum,349.5
2020-09-16,Maximum,548.8
2020-09-16,Geschat aantal besmettelijke mensen,453.0
2020-09-17,Minimum,362.7
2020-09-17,Maximum,580.3
2020-09-17,Geschat aantal besmettelijke mensen,475.0
2020-09-18,Minimum,370.4
2020-09-18,Maximum,607.8
2020-09-18,Geschat aantal besmettelijke mensen,493.7
2020-09-19,Minimum,388.2
2020-09-19,Maximum,637.9
2020-09-19,Geschat aantal besmettelijke mensen,515.7
2020-09-20,Minimum,405.2
2020-09-20,Maximum,669.7
2020-09-20,Geschat aantal besmettelijke mensen,539.6
2020-09-21,Minimum,420.0
2020-09-21,Maximum,699.9
2020-09-21,Geschat aantal besmettelijke mensen,561.2
