Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-08,Bergen op Zoom,748,Noord-Brabant,1
2020-03-08,Best,753,Noord-Brabant,2
2020-03-08,Boekel,755,Noord-Brabant,1
2020-03-08,Breda,758,Noord-Brabant,16
2020-03-08,Deurne,762,Noord-Brabant,1
2020-03-08,Dongen,766,Noord-Brabant,3
2020-03-08,Eindhoven,772,Noord-Brabant,6
2020-03-08,Goirle,785,Noord-Brabant,1
2020-03-08,Helmond,794,Noord-Brabant,5
2020-03-08,'s-Hertogenbosch,796,Noord-Brabant,2
2020-03-08,Heusden,797,Noord-Brabant,1
2020-03-08,Loon op Zand,809,Noord-Brabant,7
2020-03-08,Oisterwijk,824,Noord-Brabant,3
2020-03-08,Oss,828,Noord-Brabant,1
2020-03-08,Sint-Michielsgestel,845,Noord-Brabant,5
2020-03-08,Waterland,852,Noord-Holland,1
2020-03-08,Tilburg,855,Noord-Brabant,12
2020-03-08,Uden,856,Noord-Brabant,7
2020-03-08,Waalre,866,Noord-Brabant,1
2020-03-08,Waalwijk,867,Noord-Brabant,5
2020-03-08,Zundert,879,Noord-Brabant,1
2020-03-08,Maastricht,935,Limburg,4
2020-03-08,Roermond,957,Limburg,1
2020-03-08,Simpelveld,965,Limburg,2
2020-03-08,Utrechtse Heuvelrug,1581,Utrecht,2
2020-03-08,Lansingerland,1621,Zuid-Holland,2
2020-03-08,Gemert-Bakel,1652,Noord-Brabant,1
2020-03-08,Schouwen-Duiveland,1676,Zeeland,1
2020-03-08,Landerd,1685,Noord-Brabant,2
2020-03-08,Lingewaard,1705,Gelderland,2
2020-03-08,Bernheze,1721,Noord-Brabant,1
2020-03-08,Dinkelland,1774,Overijssel,2
2020-03-08,Bronckhorst,1876,Gelderland,2
2020-03-08,Sittard-Geleen,1883,Limburg,7
2020-03-08,Stichtse Vecht,1904,Utrecht,5
2020-03-08,Leidschendam-Voorburg,1916,Zuid-Holland,1
2020-03-08,Pijnacker-Nootdorp,1926,Zuid-Holland,2
2020-03-08,Krimpenerwaard,1931,Zuid-Holland,1
2020-03-08,Gooise Meren,1942,Noord-Holland,2
2020-03-08,Meierijstad,1948,Noord-Brabant,4
2020-03-08,Beekdaelen,1954,Limburg,2
