Datum,Gemeentenaam,Gemeentecode,Provincienaam,Type,Aantal_min,Aantal_max
2020-03-26,Hollands Kroon,1911,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Leidschendam-Voorburg,1916,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Goeree-Overflakkee,1924,Zuid-Holland,Overleden,3.0,6.0
2020-03-26,Pijnacker-Nootdorp,1926,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Nissewaard,1930,Zuid-Holland,Overleden,3.0,6.0
2020-03-26,Krimpenerwaard,1931,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,De Fryske Marren,1940,Friesland,Overleden,0.0,0.0
2020-03-26,Gooise Meren,1942,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Berg en Dal,1945,Gelderland,Overleden,3.0,6.0
2020-03-26,Meierijstad,1948,Noord-Brabant,Overleden,14.0,49.0
2020-03-26,Waadhoeke,1949,Friesland,Overleden,0.0,0.0
2020-03-26,Westerwolde,1950,Groningen,Overleden,0.0,0.0
2020-03-26,Midden-Groningen,1952,Groningen,Overleden,0.0,0.0
2020-03-26,Beekdaelen,1954,Limburg,Overleden,14.0,49.0
2020-03-26,Montferland,1955,Gelderland,Overleden,0.0,0.0
2020-03-26,Altena,1959,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,West Betuwe,1960,Gelderland,Overleden,0.0,0.0
2020-03-26,Vijfheerenlanden,1961,Utrecht,Overleden,0.0,0.0
2020-03-26,Hoeksche Waard,1963,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Het Hogeland,1966,Groningen,Overleden,0.0,0.0
2020-03-26,Westerkwartier,1969,Groningen,Overleden,0.2,3.0
2020-03-26,Noardeast-Fryslân,1970,Friesland,Overleden,0.0,0.0
2020-03-26,Molenlanden,1978,Zuid-Holland,Overleden,0.0,0.0
2020-03-27,Appingedam,3,Groningen,Overleden,0.0,0.0
2020-03-27,Delfzijl,10,Groningen,Overleden,0.0,0.0
2020-03-27,Groningen,14,Groningen,Overleden,0.0,0.0
2020-03-27,Loppersum,24,Groningen,Overleden,0.0,0.0
2020-03-27,Almere,34,Flevoland,Overleden,0.0,0.0
2020-03-27,Stadskanaal,37,Groningen,Overleden,0.0,0.0
2020-03-27,Veendam,47,Groningen,Overleden,0.0,0.0
2020-03-27,Zeewolde,50,Flevoland,Overleden,0.0,0.0
2020-03-27,Achtkarspelen,59,Friesland,Overleden,0.0,0.0
2020-03-27,Ameland,60,Friesland,Overleden,0.0,0.0
2020-03-27,Harlingen,72,Friesland,Overleden,0.0,0.0
2020-03-27,Heerenveen,74,Friesland,Overleden,0.2,3.0
2020-03-27,Leeuwarden,80,Friesland,Overleden,0.2,3.0
2020-03-27,Ooststellingwerf,85,Friesland,Overleden,0.0,0.0
2020-03-27,Opsterland,86,Friesland,Overleden,0.0,0.0
2020-03-27,Schiermonnikoog,88,Friesland,Overleden,0.0,0.0
2020-03-27,Smallingerland,90,Friesland,Overleden,0.0,0.0
2020-03-27,Terschelling,93,Friesland,Overleden,0.0,0.0
2020-03-27,Vlieland,96,Friesland,Overleden,0.0,0.0
2020-03-27,Weststellingwerf,98,Friesland,Overleden,0.0,0.0
2020-03-27,Assen,106,Drenthe,Overleden,0.0,0.0
2020-03-27,Coevorden,109,Drenthe,Overleden,0.0,0.0
2020-03-27,Emmen,114,Drenthe,Overleden,0.0,0.0
2020-03-27,Hoogeveen,118,Drenthe,Overleden,0.0,0.0
2020-03-27,Meppel,119,Drenthe,Overleden,0.2,3.0
2020-03-27,Almelo,141,Overijssel,Overleden,0.0,0.0
2020-03-27,Borne,147,Overijssel,Overleden,3.0,6.0
