Datum,Provincienaam,Aantal
2020-04-09,Zuid-Holland,4064
2020-04-09,Noord-Brabant,5011
2020-04-09,Gelderland,2526
2020-04-09,Zeeland,360
2020-04-10,Utrecht,1719
2020-04-10,Zuid-Holland,4272
2020-04-10,Zeeland,386
2020-04-10,Noord-Brabant,5264
2020-04-10,Friesland,326
2020-04-10,Noord-Holland,3561
2020-04-10,Drenthe,274
2020-04-10,Gelderland,2690
2020-04-10,Groningen,251
2020-04-10,Limburg,2410
2020-04-10,Overijssel,1616
2020-04-10,Flevoland,328
2020-04-11,Noord-Brabant,5467
2020-04-11,Noord-Holland,3718
2020-04-11,Zuid-Holland,4683
2020-04-11,Zeeland,412
2020-04-11,Overijssel,1713
2020-04-11,Gelderland,2845
2020-04-11,Drenthe,296
2020-04-11,Utrecht,1772
2020-04-11,Flevoland,367
2020-04-11,Friesland,341
2020-04-11,Limburg,2535
2020-04-11,Groningen,264
2020-04-12,Zeeland,427
2020-04-12,Overijssel,1784
2020-04-12,Noord-Holland,3906
2020-04-12,Utrecht,1852
2020-04-12,Noord-Brabant,5721
2020-04-12,Zuid-Holland,4906
2020-04-12,Limburg,2651
2020-04-12,Groningen,274
2020-04-12,Drenthe,310
2020-04-12,Gelderland,3015
2020-04-12,Friesland,360
2020-04-12,Flevoland,381
2020-04-13,Limburg,2696
2020-04-13,Zeeland,453
2020-04-13,Drenthe,319
2020-04-13,Overijssel,1835
2020-04-13,Utrecht,1920
2020-04-13,Noord-Brabant,5860
2020-04-13,Gelderland,3229
2020-04-13,Friesland,373
2020-04-13,Noord-Holland,4000
2020-04-13,Flevoland,415
2020-04-13,Zuid-Holland,5169
2020-04-13,Groningen,282
2020-04-14,Utrecht,1972
2020-04-14,Groningen,283
2020-04-14,Zeeland,471
2020-04-14,Noord-Brabant,6033
2020-04-14,Noord-Holland,4100
2020-04-14,Zuid-Holland,5311
2020-04-14,Friesland,381
2020-04-14,Flevoland,422
2020-04-14,Overijssel,1895
2020-04-14,Drenthe,325
2020-04-14,Limburg,2882
2020-04-14,Gelderland,3344
2020-04-15,Noord-Holland,4211
2020-04-15,Zeeland,476
2020-04-15,Noord-Brabant,6148
2020-04-15,Gelderland,3463
2020-04-15,Overijssel,1947
2020-04-15,Utrecht,2037
2020-04-15,Limburg,2921
2020-04-15,Flevoland,435
2020-04-15,Drenthe,332
2020-04-15,Friesland,391
2020-04-15,Zuid-Holland,5504
2020-04-15,Groningen,288
2020-04-16,Zeeland,478
2020-04-16,Utrecht,2103
2020-04-16,Noord-Holland,4345
2020-04-16,Limburg,3021
2020-04-16,Overijssel,2038
