Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-01,158,Haaksbergen,Overijssel,23,6
2020-04-01,160,Hardenberg,Overijssel,23,9
2020-04-01,163,Hellendoorn,Overijssel,23,4
2020-04-01,164,Hengelo,Overijssel,23,7
2020-04-01,166,Kampen,Overijssel,23,38
2020-04-01,168,Losser,Overijssel,23,3
2020-04-01,171,Noordoostpolder,Flevoland,24,6
2020-04-01,173,Oldenzaal,Overijssel,23,8
2020-04-01,175,Ommen,Overijssel,23,4
2020-04-01,177,Raalte,Overijssel,23,16
2020-04-01,180,Staphorst,Overijssel,23,1
2020-04-01,183,Tubbergen,Overijssel,23,7
2020-04-01,184,Urk,Flevoland,24,11
2020-04-01,189,Wierden,Overijssel,23,2
2020-04-01,193,Zwolle,Overijssel,23,28
2020-04-01,197,Aalten,Gelderland,25,1
2020-04-01,200,Apeldoorn,Gelderland,25,22
2020-04-01,202,Arnhem,Gelderland,25,30
2020-04-01,203,Barneveld,Gelderland,25,8
2020-04-01,209,Beuningen,Gelderland,25,12
2020-04-01,213,Brummen,Gelderland,25,4
2020-04-01,214,Buren,Gelderland,25,5
2020-04-01,216,Culemborg,Gelderland,25,15
2020-04-01,221,Doesburg,Gelderland,25,3
2020-04-01,222,Doetinchem,Gelderland,25,5
2020-04-01,225,Druten,Gelderland,25,13
2020-04-01,226,Duiven,Gelderland,25,4
2020-04-01,228,Ede,Gelderland,25,29
2020-04-01,230,Elburg,Gelderland,25,4
2020-04-01,232,Epe,Gelderland,25,10
2020-04-01,233,Ermelo,Gelderland,25,9
2020-04-01,243,Harderwijk,Gelderland,25,8
2020-04-01,244,Hattem,Gelderland,25,5
2020-04-01,246,Heerde,Gelderland,25,19
2020-04-01,252,Heumen,Gelderland,25,8
2020-04-01,262,Lochem,Gelderland,25,2
2020-04-01,263,Maasdriel,Gelderland,25,11
2020-04-01,267,Nijkerk,Gelderland,25,11
2020-04-01,268,Nijmegen,Gelderland,25,79
2020-04-01,269,Oldebroek,Gelderland,25,8
2020-04-01,273,Putten,Gelderland,25,1
2020-04-01,274,Renkum,Gelderland,25,11
2020-04-01,275,Rheden,Gelderland,25,22
2020-04-01,277,Rozendaal,Gelderland,25,1
2020-04-01,279,Scherpenzeel,Gelderland,25,0
2020-04-01,281,Tiel,Gelderland,25,21
2020-04-01,285,Voorst,Gelderland,25,3
2020-04-01,289,Wageningen,Gelderland,25,6
2020-04-01,293,Westervoort,Gelderland,25,3
2020-04-01,294,Winterswijk,Gelderland,25,1
2020-04-01,296,Wijchen,Gelderland,25,30
2020-04-01,297,Zaltbommel,Gelderland,25,9
2020-04-01,299,Zevenaar,Gelderland,25,18
2020-04-01,301,Zutphen,Gelderland,25,8
2020-04-01,302,Nunspeet,Gelderland,25,17
2020-04-01,303,Dronten,Flevoland,24,10
2020-04-01,307,Amersfoort,Utrecht,26,24
2020-04-01,308,Baarn,Utrecht,26,2
2020-04-01,310,De Bilt,Utrecht,26,13
2020-04-01,312,Bunnik,Utrecht,26,4
2020-04-01,313,Bunschoten,Utrecht,26,2
2020-04-01,317,Eemnes,Utrecht,26,1
2020-04-01,321,Houten,Utrecht,26,10
2020-04-01,327,Leusden,Utrecht,26,5
2020-04-01,331,Lopik,Utrecht,26,10
2020-04-01,335,Montfoort,Utrecht,26,9
2020-04-01,339,Renswoude,Utrecht,26,1
2020-04-01,340,Rhenen,Utrecht,26,3
2020-04-01,342,Soest,Utrecht,26,9
2020-04-01,344,Utrecht,Utrecht,26,80
2020-04-01,345,Veenendaal,Utrecht,26,7
2020-04-01,351,Woudenberg,Utrecht,26,2
2020-04-01,352,Wijk bij Duurstede,Utrecht,26,7
2020-04-01,353,IJsselstein,Utrecht,26,18
2020-04-01,355,Zeist,Utrecht,26,13
2020-04-01,356,Nieuwegein,Utrecht,26,17
2020-04-01,358,Aalsmeer,Noord-Holland,27,5
2020-04-01,361,Alkmaar,Noord-Holland,27,21
2020-04-01,362,Amstelveen,Noord-Holland,27,31
2020-04-01,363,Amsterdam,Noord-Holland,27,246
2020-04-01,370,Beemster,Noord-Holland,27,2
2020-04-01,373,Bergen (NH.),Noord-Holland,27,10
2020-04-01,375,Beverwijk,Noord-Holland,27,7
2020-04-01,376,Blaricum,Noord-Holland,27,2
2020-04-01,377,Bloemendaal,Noord-Holland,27,3
2020-04-01,383,Castricum,Noord-Holland,27,8
2020-04-01,384,Diemen,Noord-Holland,27,4
2020-04-01,385,Edam-Volendam,Noord-Holland,27,10
2020-04-01,388,Enkhuizen,Noord-Holland,27,14
2020-04-01,392,Haarlem,Noord-Holland,27,31
2020-04-01,394,Haarlemmermeer,Noord-Holland,27,32
2020-04-01,396,Heemskerk,Noord-Holland,27,17
2020-04-01,397,Heemstede,Noord-Holland,27,5
2020-04-01,398,Heerhugowaard,Noord-Holland,27,19
2020-04-01,399,Heiloo,Noord-Holland,27,5
2020-04-01,400,Den Helder,Noord-Holland,27,6
2020-04-01,402,Hilversum,Noord-Holland,27,15
2020-04-01,405,Hoorn,Noord-Holland,27,16
2020-04-01,406,Huizen,Noord-Holland,27,12
2020-04-01,415,Landsmeer,Noord-Holland,27,3
2020-04-01,416,Langedijk,Noord-Holland,27,8
2020-04-01,417,Laren,Noord-Holland,27,6
2020-04-01,420,Medemblik,Noord-Holland,27,10
2020-04-01,431,Oostzaan,Noord-Holland,27,3
2020-04-01,432,Opmeer,Noord-Holland,27,1
2020-04-01,437,Ouder-Amstel,Noord-Holland,27,3
2020-04-01,439,Purmerend,Noord-Holland,27,37
2020-04-01,441,Schagen,Noord-Holland,27,10
2020-04-01,448,Texel,Noord-Holland,27,1
2020-04-01,450,Uitgeest,Noord-Holland,27,3
2020-04-01,451,Uithoorn,Noord-Holland,27,9
2020-04-01,453,Velsen,Noord-Holland,27,15
2020-04-01,457,Weesp,Noord-Holland,27,4
2020-04-01,473,Zandvoort,Noord-Holland,27,4
2020-04-01,479,Zaanstad,Noord-Holland,27,34
2020-04-01,482,Alblasserdam,Zuid-Holland,28,2
2020-04-01,484,Alphen aan den Rijn,Zuid-Holland,28,32
2020-04-01,489,Barendrecht,Zuid-Holland,28,17
2020-04-01,498,Drechterland,Noord-Holland,27,1
2020-04-01,501,Brielle,Zuid-Holland,28,5
2020-04-01,502,Capelle aan den IJssel,Zuid-Holland,28,22
2020-04-01,503,Delft,Zuid-Holland,28,22
2020-04-01,505,Dordrecht,Zuid-Holland,28,30
2020-04-01,512,Gorinchem,Zuid-Holland,28,10
2020-04-01,513,Gouda,Zuid-Holland,28,13
2020-04-01,518,'s-Gravenhage,Zuid-Holland,28,96
2020-04-01,523,Hardinxveld-Giessendam,Zuid-Holland,28,1
