Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-19,202,Arnhem,Gelderland,25,17
2020-04-19,203,Barneveld,Gelderland,25,6
2020-04-19,209,Beuningen,Gelderland,25,4
2020-04-19,213,Brummen,Gelderland,25,5
2020-04-19,214,Buren,Gelderland,25,5
2020-04-19,216,Culemborg,Gelderland,25,6
2020-04-19,221,Doesburg,Gelderland,25,6
2020-04-19,222,Doetinchem,Gelderland,25,11
2020-04-19,225,Druten,Gelderland,25,5
2020-04-19,226,Duiven,Gelderland,25,4
2020-04-19,228,Ede,Gelderland,25,18
2020-04-19,230,Elburg,Gelderland,25,3
2020-04-19,232,Epe,Gelderland,25,13
2020-04-19,233,Ermelo,Gelderland,25,10
2020-04-19,243,Harderwijk,Gelderland,25,10
2020-04-19,244,Hattem,Gelderland,25,4
2020-04-19,246,Heerde,Gelderland,25,18
2020-04-19,252,Heumen,Gelderland,25,4
2020-04-19,262,Lochem,Gelderland,25,7
2020-04-19,263,Maasdriel,Gelderland,25,3
2020-04-19,267,Nijkerk,Gelderland,25,2
2020-04-19,268,Nijmegen,Gelderland,25,41
2020-04-19,269,Oldebroek,Gelderland,25,13
2020-04-19,273,Putten,Gelderland,25,0
2020-04-19,274,Renkum,Gelderland,25,2
2020-04-19,275,Rheden,Gelderland,25,14
2020-04-19,277,Rozendaal,Gelderland,25,0
2020-04-19,279,Scherpenzeel,Gelderland,25,2
2020-04-19,281,Tiel,Gelderland,25,14
2020-04-19,285,Voorst,Gelderland,25,7
2020-04-19,289,Wageningen,Gelderland,25,8
2020-04-19,293,Westervoort,Gelderland,25,2
2020-04-19,294,Winterswijk,Gelderland,25,1
2020-04-19,296,Wijchen,Gelderland,25,7
2020-04-19,297,Zaltbommel,Gelderland,25,4
2020-04-19,299,Zevenaar,Gelderland,25,10
2020-04-19,301,Zutphen,Gelderland,25,8
2020-04-19,302,Nunspeet,Gelderland,25,15
2020-04-19,303,Dronten,Flevoland,24,4
2020-04-19,307,Amersfoort,Utrecht,26,17
2020-04-19,308,Baarn,Utrecht,26,2
2020-04-19,310,De Bilt,Utrecht,26,8
2020-04-19,312,Bunnik,Utrecht,26,1
2020-04-19,313,Bunschoten,Utrecht,26,3
2020-04-19,317,Eemnes,Utrecht,26,1
2020-04-19,321,Houten,Utrecht,26,10
2020-04-19,327,Leusden,Utrecht,26,4
2020-04-19,331,Lopik,Utrecht,26,3
2020-04-19,335,Montfoort,Utrecht,26,4
