report_date,date,province,value
2020-04-30,2020-04-14,Drenthe,9
2020-04-30,2020-04-15,Drenthe,17
2020-04-30,2020-04-16,Drenthe,17
2020-04-30,2020-04-17,Drenthe,12
2020-04-30,2020-04-18,Drenthe,8
2020-04-30,2020-04-19,Drenthe,4
2020-04-30,2020-04-20,Drenthe,13
2020-04-30,2020-04-21,Drenthe,5
2020-04-30,2020-04-22,Drenthe,9
2020-04-30,2020-04-23,Drenthe,17
2020-04-30,2020-04-24,Drenthe,9
2020-04-30,2020-04-25,Drenthe,12
2020-04-30,2020-04-26,Drenthe,1
2020-04-30,2020-04-27,Drenthe,3
2020-04-30,2020-04-28,Drenthe,3
2020-04-30,2020-04-29,Drenthe,3
2020-04-30,2020-04-30,Drenthe,0
2020-04-30,2020-02-27,Overijssel,0
2020-04-30,2020-02-28,Overijssel,0
2020-04-30,2020-02-29,Overijssel,0
2020-04-30,2020-03-01,Overijssel,0
2020-04-30,2020-03-02,Overijssel,0
2020-04-30,2020-03-03,Overijssel,1
2020-04-30,2020-03-04,Overijssel,2
2020-04-30,2020-03-05,Overijssel,2
2020-04-30,2020-03-06,Overijssel,4
2020-04-30,2020-03-07,Overijssel,0
2020-04-30,2020-03-08,Overijssel,1
2020-04-30,2020-03-09,Overijssel,3
2020-04-30,2020-03-10,Overijssel,2
2020-04-30,2020-03-11,Overijssel,2
2020-04-30,2020-03-12,Overijssel,6
2020-04-30,2020-03-13,Overijssel,6
2020-04-30,2020-03-14,Overijssel,7
2020-04-30,2020-03-15,Overijssel,10
2020-04-30,2020-03-16,Overijssel,11
2020-04-30,2020-03-17,Overijssel,18
2020-04-30,2020-03-18,Overijssel,28
2020-04-30,2020-03-19,Overijssel,37
2020-04-30,2020-03-20,Overijssel,38
2020-04-30,2020-03-21,Overijssel,29
2020-04-30,2020-03-22,Overijssel,32
2020-04-30,2020-03-23,Overijssel,33
2020-04-30,2020-03-24,Overijssel,57
2020-04-30,2020-03-25,Overijssel,73
2020-04-30,2020-03-26,Overijssel,76
2020-04-30,2020-03-27,Overijssel,64
2020-04-30,2020-03-28,Overijssel,90
2020-04-30,2020-03-29,Overijssel,34
2020-04-30,2020-03-30,Overijssel,42
2020-04-30,2020-03-31,Overijssel,67
2020-04-30,2020-04-01,Overijssel,102
2020-04-30,2020-04-02,Overijssel,67
2020-04-30,2020-04-03,Overijssel,121
2020-04-30,2020-04-04,Overijssel,83
2020-04-30,2020-04-05,Overijssel,79
2020-04-30,2020-04-06,Overijssel,66
2020-04-30,2020-04-07,Overijssel,49
2020-04-30,2020-04-08,Overijssel,134
2020-04-30,2020-04-09,Overijssel,149
2020-04-30,2020-04-10,Overijssel,109
2020-04-30,2020-04-11,Overijssel,84
2020-04-30,2020-04-12,Overijssel,40
